beta,slope,Q_slow,Q_fast,ΔQ,w_slow,w_fast,ratio,dominant,crit_slope_dQ0,crit_slope_ratio05
9.25,-0.23030303030303023,0.03125,-0.049696969696969656,-0.08094696969696966,1.3351751743691969,0.6314749725688069,0.3210916662284791,slow,,
9.25,-0.20606060606060606,0.03125,-0.033939393939393936,-0.06518939393939394,1.3351751743691969,0.7305633033815793,0.35365720842699966,slow,,
9.25,-0.18181818181818188,0.03125,-0.018181818181818216,-0.049431818181818216,1.3351751743691969,0.8452001479593869,0.3876397514244177,slow,,
9.25,-0.15757575757575748,0.03125,-0.0024242424242423566,-0.03367424242424236,1.3351751743691969,0.9778253120625916,0.4227518834512049,slow,,
9.25,-0.1333333333333333,0.03125,0.01333333333333335,-0.01791666666666665,1.3351751743691969,1.1312614452550322,0.4586622807389975,slow,,
9.25,-0.10909090909090913,0.03125,0.02909090909090907,-0.00215909090909093,1.3351751743691969,1.3087741151034822,0.49500726822355584,slow,,
9.25,-0.08484848484848473,0.03125,0.04484848484848493,0.013598484848484929,1.3351751743691969,1.5141413079615298,0.531405099205747,fast,,
9.25,-0.06060606060606055,0.03125,0.06060606060606064,0.029356060606060642,1.3351751743691969,1.7517338355168919,0.5674718075287659,fast,,
9.25,-0.036363636363636376,0.03125,0.07636363636363636,0.045113636363636356,1.3351751743691969,2.026608358387568,0.6028372554748305,fast,,
9.25,-0.012121212121211977,0.03125,0.09212121212121221,0.060871212121212215,1.3351751743691969,2.344615006579722,0.6371599714348684,fast,,
9.25,0.0121212121212122,0.03125,0.10787878787878794,0.07662878787878794,1.3351751743691969,2.712521887283925,0.6701395499632827,fast,,
